Label,Number,Company,Type,Zone,Task type,State,Commercial,Technique,Amount,% Réussite,Début,Proposition
14333 -  support sur logiciels libres,14333,VALENCE AGGLO SUD RHONE-ALPES,Support,Paris,LGS l Service Assistance,Qualification,BOSSHARD,MAUDET,1000,1%,1/25/2016,3/11/2016
14541 - Formation LPI 101 et 102,14541,CISAD,Formation,Paris,LTS | Inter,Sans suite,MATONDO,VALENTIN,4400,0%,5/4/2016,5/4/2016
14542 - AT Drupal 2j,14542,INFHOTEP,Studio,Paris,LPS | Assistance,Signée,BENHADDOU,MAUDET,1600,100%,5/4/2016,5/4/2016
14543 - TMA ADAMANT,14543,MINISTERE DE LA CULTURE,Développement,Paris,LPS | Forfait,Perdue,VASSILIEFF,MAUDET,835000,0%,5/4/2016,9/26/2016
14544 - Maintenance SecurPGP,14544,VOLKSWAGEN,LinPKI,Paris,LGS l Souscription,Signée,CONTE,MAUDET,15000,100%,5/4/2016,5/4/2016
13609 - UGAP - Montée en version en OBM 3 (agendas seulement),13609,MAIRIE D'ISTRES,OBM,GSE,LGS l Service Forfait,Qualification,BOSSHARD,MAUDET,20000,2%,3/5/2015,3/20/2015
14545 - AO OS Lot 1,14545,MINISTERE EDUCATION NATIONALE,Formation,Paris,LTS | Inter,Perdue,CONTE,MAUDET,100000,0%,5/5/2016,5/12/2016
10771 - Formation Windows 7,10771,CNFPT GRANDE COURONNE,AUTRE,Paris,LTS | Intra,Signée,TAILLARD,TAILLARD,1500,100%,5/21/2012,5/21/2012
13410 - UGAP - Montée de version OBM,13410,MAIRIE D'ISTRES,OBM,GSE,LGS l Souscription,Négociation,BOSSHARD,MAUDET,5000,2%,1/9/2015,2/23/2017
14546 - OSSA,14546,GEMALTO GEMENOS,OSSA,Paris,LRS | OSSA,Qualification,BOSSHARD,MAUDET,250000,10%,5/10/2016,6/30/2016
14547 - Formation LPI 101,14547,EDUGROUPE,Formation,Paris,LTS | Inter,Sans suite,OBREMSKI,OBREMSKI,1320,0%,5/10/2016,5/10/2016
14548 - Formation LPI 102,14548,EDUGROUPE,Formation,Paris,LTS | Inter,Signée,OBREMSKI,OBREMSKI,1320,100%,5/10/2016,5/10/2016
20186 - Revalorisation Postfix,20186,MINEFI SLL 2012,Infra,Paris,LPS | Forfait,Signée,DANIEL,MAUDET,5353.25,100%,5/10/2016,5/11/2016
14549 - InterfaÃ§age SEDIT/Petals/Chorus (MinFi),14549,CD04,Petals,GSE,LCS | Forfait,Perdue,PHILIPPENKO,ESCUDIE,100000,0%,5/10/2016,6/10/2016
14550 - Candidature Conception et maintenance d'un intranet et d'un extranet métier,14550,CENTRE NATIONAL DE LA CHANSON DES VARIETES ET DU JAZZ,Studio,Paris,LPS | Forfait,Sans suite,BENHADDOU,MAUDET,1,0%,5/10/2016,5/11/2016
14551 - AT POC OpenLDAP,14551,CARREFOUR SYSTEME D'INFORMATION FRANCE,LinID,Paris,LGS l Service Assistance,Signée,CONTE,CHAPELLON,7875,100%,5/11/2016,5/11/2016
14552 - accompagnement intranet (UGAP),14552,COUR DES COMPTES,Studio,Paris,LPS | Forfait,Signée,VASSILIEFF,MOUTON,41994.84,100%,5/12/2016,5/13/2016
20187 - connecteur m2E pour JiBX,20187,MINEFI SLL 2012,Développement,Paris,LPS | Forfait,Sans suite,DANIEL,MAUDET,13200,0%,5/12/2016,5/13/2016
14553 - Maiincloud,14553,ASTEN,OBM,Paris,LGS l Service Forfait,Signée,CONTE,CHAPELLON,5000,100%,5/13/2016,5/13/2016
14291 - Prospection,14291,BOMBARDIER,Conseil,CANADA,LCS | Forfait,Qualification,IVOL,MAUDET,10000,5%,5/14/2016,7/2/2017
